source,sourceID,scientificName,year,latitude,longitude
GBIF,1843470820,Codium fragile subsp. fragile,2013,-37.045889,174.614111
GBIF,1843470795,Codium fragile subsp. fragile,2013,-37.045889,174.614111
GBIF,1843470857,Codium fragile subsp. fragile,2013,-37.045,174.584306
GBIF,1897795419,Codium fragile subsp. fragile,2010,-37.044722,174.575833
GBIF,1843430596,Codium fragile subsp. fragile,2010,-37.036667,174.627222
GBIF,1843455520,Codium fragile subsp. fragile,2013,-37.011389,174.580556
GBIF,1843470863,Codium fragile subsp. fragile,2013,-36.998806,174.603611
GBIF,1843420855,Codium fragile subsp. fragile,2007,-36.958889,175.246389
GBIF,1897827988,Codium fragile subsp. fragile,2013,-36.885806,174.435694
GBIF,1897719023,Codium fragile subsp. fragile,1999,-36.883333,174.933333
GBIF,1843411332,Codium fragile subsp. fragile,2006,-36.8775,174.979167
GBIF,1897815164,Codium fragile subsp. fragile,2013,-36.873056,174.886944
GBIF,1897789387,Codium fragile subsp. fragile,2009,-36.870833,174.899167
OBIS,8794ffa3-1c99-4b0a-9234-958e157cb93f,Codium fragile subsp. fragile,2016,-36.870753,174.893782
GBIF,1843422847,Codium fragile subsp. fragile,2009,-36.863333,174.656667
GBIF,1843470843,Codium fragile subsp. fragile,2012,-36.855611,174.7015
GBIF,1843470813,Codium fragile subsp. fragile,2012,-36.855611,174.7015
GBIF,1843470744,Codium fragile subsp. fragile,2012,-36.855611,174.7015
GBIF,1897812784,Codium fragile subsp. fragile,1975,-36.85,174.833333
GBIF,1897647292,Codium fragile subsp. fragile,1975,-36.85,174.833333
GBIF,1843470828,Codium fragile subsp. fragile,2012,-36.849806,174.845194
GBIF,1843470770,Codium fragile subsp. fragile,2012,-36.849806,174.845194
GBIF,1843426470,Codium fragile subsp. fragile,2010,-36.848333,175.145278
GBIF,1843420821,Codium fragile subsp. fragile,2007,-36.848333,174.901944
GBIF,1843420873,Codium fragile subsp. fragile,2008,-36.848056,174.861667
GBIF,1843470858,Codium fragile subsp. fragile,2012,-36.847611,174.723111
GBIF,1843470831,Codium fragile subsp. fragile,2012,-36.847611,174.723111
GBIF,1843470759,Codium fragile subsp. fragile,2012,-36.847611,174.723111
GBIF,1897788713,Codium fragile subsp. fragile,1979,-36.847511,174.78828
GBIF,1843470784,Codium fragile subsp. fragile,2012,-36.846806,174.835111
GBIF,1843470776,Codium fragile subsp. fragile,2012,-36.846806,174.835111
GBIF,1843420767,Codium fragile subsp. fragile,2007,-36.845278,174.825556
GBIF,1843423375,Codium fragile subsp. fragile,2008,-36.842778,174.750556
GBIF,1897812769,Codium fragile subsp. fragile,1974,-36.833333,174.783333
GBIF,1843420775,Codium fragile subsp. fragile,2006,-36.829167,174.814167
GBIF,1843420755,Codium fragile subsp. fragile,2007,-36.828611,174.898056
GBIF,1843423563,Codium fragile subsp. fragile,2008,-36.827222,174.708611
OBIS,ed88df34-a871-4fab-86d5-e0d88bddda5c,Codium fragile subsp. fragile,2018,-36.82568,174.708499
GBIF,1897788576,Codium fragile subsp. fragile,2007,-36.819444,174.949444
GBIF,1843470877,Codium fragile subsp. fragile,2013,-36.809194,175.026694
GBIF,1843470789,Codium fragile subsp. fragile,2012,-36.808806,174.6905
GBIF,1843470741,Codium fragile subsp. fragile,2012,-36.808806,174.6905
GBIF,1843470767,Codium fragile subsp. fragile,2012,-36.807111,174.862611
GBIF,1843415683,Codium fragile subsp. fragile,2006,-36.806944,174.850556
GBIF,1843470797,Codium fragile subsp. fragile,2013,-36.790889,175.157194
GBIF,1843451687,Codium fragile subsp. fragile,2012,-36.786333,174.796
GBIF,1843426369,Codium fragile subsp. fragile,2010,-36.783611,174.992222
GBIF,1843470809,Codium fragile subsp. fragile,2013,-36.781111,174.991389
GBIF,1843470778,Codium fragile subsp. fragile,2013,-36.781111,174.991389
GBIF,1897789985,Codium fragile subsp. fragile,2008,-36.78,175.045833
GBIF,1843415699,Codium fragile subsp. fragile,2005,-36.777222,174.897778
OBIS,d6ad7d45-bdfc-49c7-aa46-8dd14b91b98a,Codium fragile subsp. fragile,2017,-36.77548,174.89683
GBIF,1843470772,Codium fragile subsp. fragile,2012,-36.718306,174.751
GBIF,1843470848,Codium fragile subsp. fragile,2012,-36.704194,174.752111
GBIF,1843470815,Codium fragile subsp. fragile,2012,-36.704194,174.752111
GBIF,1843470802,Codium fragile subsp. fragile,2012,-36.704194,174.752111
GBIF,1897652661,Codium fragile subsp. fragile,2000,-36.7,175.616667
GBIF,1843470794,Codium fragile subsp. fragile,2012,-36.698,174.7575
GBIF,1843470787,Codium fragile subsp. fragile,2012,-36.698,174.7575
GBIF,1843470773,Codium fragile subsp. fragile,2012,-36.698,174.7575
GBIF,1897789910,Codium fragile subsp. fragile,2009,-36.680556,174.748611
GBIF,1843470804,Codium fragile subsp. fragile,2012,-36.617,174.818694
GBIF,1843470792,Codium fragile subsp. fragile,2012,-36.617,174.818694
GBIF,1843470803,Codium fragile subsp. fragile,2012,-36.601389,174.805111
GBIF,1843470780,Codium fragile subsp. fragile,2012,-36.601389,174.805111
GBIF,1897743832,Codium fragile subsp. fragile,2001,-36.583333,175.533333
GBIF,1843470814,Codium fragile subsp. fragile,2012,-36.458111,174.764694
GBIF,1843470756,Codium fragile subsp. fragile,2012,-36.458111,174.764694
GBIF,1843470753,Codium fragile subsp. fragile,2012,-36.458111,174.764694
GBIF,1843470859,Codium fragile subsp. fragile,2013,-36.402806,174.375306
GBIF,1843470830,Codium fragile subsp. fragile,2013,-36.402806,174.375306
GBIF,1843369475,Codium fragile subsp. fragile,2000,-36.316667,175.483333
GBIF,1897796690,Codium fragile subsp. fragile,2010,-36.271944,175.504167
GBIF,1843402681,Codium fragile subsp. fragile,2004,-36.266667,175.433333
GBIF,1843425332,Codium fragile subsp. fragile,2010,-36.259722,174.251667
GBIF,1897799611,Codium fragile subsp. fragile,2010,-36.117028,175.374806
GBIF,2438084914,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2008,-35.786794,137.775007
GBIF,2438033306,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2008,-35.786794,137.775007
